Date,Price,Open,High,Low,Vol,Change %
4/23/2025,26100,25750,26300,25150,18230000,3.78%
4/22/2025,25150,25250,25650,23950,29520000,-2.33%
4/21/2025,25750,26000,26300,25600,12190000,-0.96%
4/18/2025,26000,26500,26500,26000,16890000,0.00%
4/17/2025,26000,25600,26000,25550,14260000,0.78%
4/16/2025,25800,26150,26450,25750,18150000,-0.77%
4/15/2025,26000,26050,26350,25800,21180000,-2.07%
4/14/2025,26550,26600,26700,26100,19910000,-0.19%
4/11/2025,26600,26500,26600,25600,47940000,5.35%
4/10/2025,25250,25250,25250,25250,1240000,6.99%
4/9/2025,23600,22300,24900,22300,40790000,-1.46%
4/8/2025,23950,25000,25000,23950,33470000,-6.81%
4/4/2025,25700,24150,25750,24150,56800000,-0.96%
4/3/2025,25950,26950,27200,25950,58890000,-6.99%
4/2/2025,27900,28000,28150,27850,6670000,-0.18%
4/1/2025,27950,27500,28000,27400,9050000,1.64%
3/31/2025,27500,27400,27500,27200,12980000,-0.18%
3/28/2025,27550,27750,27800,27450,12350000,-0.72%
3/27/2025,27750,28000,28150,27750,7520000,-0.89%
3/26/2025,28000,27900,28500,27800,24090000,0.36%
3/25/2025,27900,28100,28200,27850,8130000,-0.36%
3/24/2025,28000,27350,28200,27200,21080000,2.38%
3/21/2025,27350,27350,27550,27300,7450000,-0.36%
3/20/2025,27450,27500,27550,27100,14430000,0.73%
3/19/2025,27250,27300,27350,27150,12080000,-0.55%
3/18/2025,27400,27500,27600,27300,7950000,-0.18%
3/17/2025,27450,27350,27450,27150,11000000,0.55%
3/14/2025,27300,27100,27400,27100,10660000,0.00%
3/13/2025,27300,27800,27800,27250,18990000,-1.97%
3/12/2025,27850,28100,28250,27800,10860000,-0.54%
3/11/2025,28000,27500,28000,27450,15310000,0.72%
3/10/2025,27800,27750,28300,27700,13910000,0.18%
3/7/2025,27750,27700,27900,27450,14920000,0.18%
3/6/2025,27700,27450,27700,27350,12570000,1.47%
3/5/2025,27300,27500,27600,27300,13270000,-0.73%
